#          freq               flux              error       SNR
#           GHz                mJy                mJy          
        233.445      0.2041613E+01      0.4494583E+01      0.01
        233.437     -0.3831037E+01      0.4554432E+01      0.00
        233.429      0.2907160E+00      0.4484450E+01      0.00
        233.422     -0.8626983E+01      0.4481635E+01      0.00
        233.414      0.5018436E+01      0.4365829E+01      0.02
        233.406     -0.3048359E+01      0.4364239E+01      0.00
        233.398      0.4098518E+00      0.4531562E+01      0.00
        233.390      0.4923359E+00      0.4388216E+01      0.00
        233.383     -0.6667495E+01      0.4476723E+01      0.00
        233.375     -0.2206683E+01      0.4569694E+01      0.00
        233.367      0.3353605E+01      0.4565607E+01      0.01
        233.359     -0.7699220E+00      0.4461977E+01      0.00
        233.351     -0.5771135E+01      0.4435691E+01      0.00
        233.343      0.2737855E+01      0.4540466E+01      0.01
        233.336      0.2326484E+01      0.4538764E+01      0.01
        233.328      0.6449102E+01      0.4620106E+01      0.03
        233.320      0.2972165E+01      0.4573014E+01      0.01
        233.312     -0.1464380E+01      0.4486065E+01      0.00
        233.304     -0.2757387E+00      0.4577785E+01      0.00
        233.297     -0.5117870E+00      0.4601308E+01      0.00
        233.289      0.6282553E+01      0.4534253E+01      0.03
        233.281     -0.1889898E+01      0.4623084E+01      0.00
        233.273     -0.4270200E+01      0.4669721E+01      0.00
        233.265      0.9556990E+01      0.4627042E+01      0.04
        233.258     -0.2708707E+01      0.4558174E+01      0.00
        233.250     -0.2310083E+01      0.4715877E+01      0.00
        233.242      0.6184345E+00      0.4730389E+01      0.00
        233.234     -0.9861818E+01      0.4729937E+01      0.00
        233.226     -0.3572554E+01      0.4762930E+01      0.00
        233.219     -0.4312118E+01      0.4779287E+01      0.00
        233.211      0.4805350E+01      0.4733191E+01      0.02
        233.203     -0.1301443E+00      0.4735738E+01      0.00
        233.195      0.6387162E+01      0.4711877E+01      0.03
        233.187      0.1285168E+01      0.4794614E+01      0.01
 
