#          x       x_err           y       y_err        freq           flux       flux_err       major   major_err       minor   minor_err          PA      PA_err             RA            Dec    velocity
#     arcsec      arcsec      arcsec      arcsec         GHz            mJy            mJy      arcsec      arcsec      arcsec      arcsec      degree      degree         degree         degree        km/s
       9.577       0.000       5.654       0.000     234.288   -4.58111E+00    5.70581E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -420.000
       9.577       0.000       5.654       0.000     234.280    8.33389E+00    5.78159E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -410.000
       9.577       0.000       5.654       0.000     234.272    1.43756E+01    5.63524E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -400.000
       9.577       0.000       5.654       0.000     234.264    3.66835E+00    5.68147E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -390.000
       9.577       0.000       5.654       0.000     234.257   -5.17637E+00    5.60595E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -380.000
       9.577       0.000       5.654       0.000     234.249    1.74374E+01    5.55973E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -370.000
       9.577       0.000       5.654       0.000     234.241    9.18133E+00    5.69166E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -360.000
       9.577       0.000       5.654       0.000     234.233   -2.48891E+00    5.54297E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -350.000
       9.577       0.000       5.654       0.000     234.225    5.06980E+00    5.56503E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -340.000
       9.577       0.000       5.654       0.000     234.218   -2.57484E-01    5.48239E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -330.000
       9.577       0.000       5.654       0.000     234.210    2.33509E-01    5.42545E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -320.000
       9.577       0.000       5.654       0.000     234.202   -5.99772E+00    5.52598E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -310.000
       9.577       0.000       5.654       0.000     234.194   -7.29754E+00    5.47589E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -300.000
       9.577       0.000       5.654       0.000     234.186    7.22514E+00    5.56391E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -290.000
       9.577       0.000       5.654       0.000     234.179    1.26852E+00    5.45727E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -280.000
       9.577       0.000       5.654       0.000     234.171   -4.87657E+00    5.44980E+00       1.000       0.000       0.000       0.000       0.000       0.000    150.0390472      2.3189306    -270.000
