#        x     x_err         y     y_err           freq               flux           flux_err         major     major_err         minor     minor_err            PA        PA_err
#   arcsec    arcsec    arcsec    arcsec            GHz                mJy                mJy        arcsec        arcsec        arcsec        arcsec        degree        degree
    -9.427     0.000     5.900     0.000        234.241     -0.7056808E-01      0.4948222E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.233     -0.5321104E+01      0.4817945E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.225     -0.3077057E+01      0.4835756E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.218     -0.1025074E+01      0.4767405E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.210      0.8590653E+01      0.4713698E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.202     -0.8060955E+00      0.4801518E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.194     -0.4067677E+01      0.4761255E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.186      0.4197139E+01      0.4838437E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.179      0.6389480E+00      0.4745152E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.171     -0.1479449E+01      0.4739596E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.163      0.4395597E+01      0.4655431E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.155      0.6807390E+01      0.4726877E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.147      0.2590813E+01      0.4780903E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.139     -0.9417263E+00      0.4774424E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.132     -0.3662433E+01      0.4786824E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.124     -0.7205093E+01      0.4651741E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.116     -0.3276544E+01      0.4713365E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.108      0.1684575E+01      0.4627176E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.100     -0.3550447E+00      0.4598475E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.093      0.2666937E+01      0.4751943E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.085      0.2738765E+01      0.4741536E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.077      0.3289970E+01      0.4738767E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.069      0.9447294E+00      0.4778484E+01         0.000         0.000         0.000         0.000         0.000         0.000
    -9.427     0.000     5.900     0.000        234.061      0.1038729E+01      0.4753322E+01         0.000         0.000         0.000         0.000         0.000         0.000
